Lat,Long,Depth,Magnitude
30.86,78.43,12,4.4
24.83,90.51,10,2.9
24.97,94.1,20,3
31.21,78.69,10,2.9
22.57,96.6,10,4.1
11.98,77.77,20,3.4
25.17,92.79,20,3
25.75,95.67,20,4.4
24.49,94.69,18,3.5
26.2,93.1,33,3
22.77,95.95,10,3.4
27.27,88.21,16,4.6
36.38,70.83,94,4.6
31.41,74.16,35,3.5
35.86,71.79,15,4.4
22.97,96.2,15,4.5
37.46,71.64,33,4.5
25.8,95.7,85,4.2
27.83,94.14,10,3.3
36.17,69.39,33,4
28.44,66.15,18,4.2
39.76,75.72,30,3.7
36.17,69.57,33,4.1
39.21,88.13,10,5.2
22.99,70.37,10,4.3
36.15,70.75,33,3.9
38.33,74,141,5
36.32,69.79,30,3.9
35.1,69.52,33,4.2
23.25,93.84,23,4.2
24.73,94.14,10,2.9
36.23,70.2,33,4.1
36.55,69.98,30,3.6
36.25,70.82,30,4.1
22.61,92.79,17,3.3
22.68,95.97,10,3.8
35.75,69.1,33,3.9
24.76,91.53,12,3.1
37.47,79,11,3.5
25.23,96.77,20,3.2
19.27,95.78,10,3.5
25.41,96.64,16,4.6
33.28,84.57,10,3.9
36.56,70.86,30,4
28.59,76.76,12,2.9
28.66,76.65,12,2.7
22.81,96.9,10,4.6
27.48,76.21,12,3.8
36.59,70.1,30,4
28.56,88.57,45,4.2
25.64,94.5,15,3.6
36.49,71.6,33,4
4.77,95.1,23,5.1
22.46,94.72,96,5.4
24.42,93.53,20,2.8
37.4,71.67,30,4.1
35.93,69.69,113,4.5
36.29,69.8,33,3.5
37.6,69.8,51,4.4
28.43,66.12,35,4.9
39.55,75.57,10,4.5
26.35,92.71,41,3.4
23.14,96.6,35,4.2
22.85,95.69,18,4.8
22.5,93.52,18,3.8
22.78,96.27,39,3.6
0.59,98.75,86,5
24.4,93.36,32,2.8
26.38,92.82,45,3.4
17.23,73.54,10,2.9
1.79,89.54,10,4.6
24.1,95.3,20,2.7
37.36,79.13,30,3.9
30.3,88.23,10,2.9
17.31,72.54,10,2.9
35.83,70.31,79,5.7
24.24,91.74,25,4.3
23.2,94.18,13,3.5
26.72,95.85,20,3.1
17.7,83.44,10,2.9
36.58,71.21,110,4.5
26.38,93.21,38,3.5
2.9,96.14,41,4.7
27.37,88.79,15,3.2
22.58,93.9,21,4.3
29.29,81.21,10,4.6
23.26,94.21,17,3.2
28.36,87.89,35,3.5
25.6,93.92,26,3.9
37.21,71.77,33,3.9
39.94,73.61,40,4.1
36.37,70.94,87,4.8
25.33,62.79,10,3.7
31.72,87.14,35,4.8
36.13,68.18,20,4.6
36.41,70.77,30,4
26.36,93.64,42,3.3
28.3,94.24,10,4.3
28.15,94.32,10,4.2
28.29,94.4,10,4.1
15.89,74.1,10,2.7
39.56,72.16,36,4.6
25.3,94.86,91,5.8
29.67,81.72,15,5
0.1,92.55,29,5.1
4.85,95.4,52,5.8
30.1,80.47,10,3.2
13.36,92.44,37,4.9
28.38,87.18,30,3.3
35.7,69.5,33,3.7
3.55,92.93,10,4.6
36.85,70.52,33,4
26.52,86.13,10,3
36.12,69.92,30,3.8
23.87,92.35,16,3.2
1.86,97.27,35,4.9
26.39,89.77,10,3.5
23.78,94.55,15,4.6
33.29,69.76,32,3.8
36.89,70.42,132,4.7
28.7,79.73,20,3.1
29.35,81.33,10,3.6
30.99,99.33,10,5.4
24.78,94.9,30,3.1
24.56,94.35,17,3.3
4.89,96.25,36,5.9
5.9,95.98,38,4.7
29.73,89.71,40,4
36.38,68.73,52,5.2
24.98,93.6,39,2.9
7.41,93.4,48,4.6
24.85,95.3,16,3.3
38.51,73.47,95,4.5
29.2,89.43,10,3.3
27.18,65.52,10,4.2
38.17,73.15,30,3.7
17.2,73.69,10,3.8
39.96,76.98,35,4.6
35.65,70.24,30,4
23.73,94.57,21,3.9
30.5,81.59,20,3.8
25.44,96.75,10,3
32.75,94.41,20,5.2
36.21,95.74,15,4.7
30.26,80.5,10,2.6
26.3,92.87,38,2.9
20.7,93.75,20,3.6
24.34,93.99,15,3
11.75,92.73,34,4.7
36.57,70.65,197,4.4
33.9,94.85,10,4.8
38.5,82.73,24,4.5
37.33,70.3,35,4.5
13.91,92.81,16,4.9
23.26,93.7,32,3.2
36.53,70.28,183,4.8
28.9,87.29,30,3.3
15.55,80.3,10,3
28.84,76.59,10,3
28.97,76.71,20,2.3
29.48,80.94,10,3.2
25.53,96.44,10,3
26.18,93.31,40,3.4
28.41,87.17,15,2.9
36.36,70.6,66,4.2
39.68,69.58,30,4
30.1,78.35,10,4.3
29.14,95.88,10,3.9
33.13,95.7,43,4.6
30.17,67.8,16,4.4
36.71,72.28,15,3.7
23.84,94.32,38,3.7
36.53,71.51,77,5
30.88,78.36,11,2.8
36.28,69.67,33,4
25.37,89.5,12,4.2
20.67,85.18,10,2.9
34.18,72.84,30,3.8
36.22,70.75,33,3.9
36.47,70.34,33,4.1
30.14,87.99,21,4
26.34,93.3,35,3.1
26.19,76.6,10,4.1
36.92,70.13,204,4.4
11.2,91.94,20,4.7
30.91,78.4,10,3.2
34.35,85.62,10,5
34.22,85.66,10,4.7
24.61,94.26,40,2.6
19.8,73.38,10,3
36.2,70.89,33,4.1
11.15,75.83,10,3.1
29.23,67.33,10,4.7
25.65,90.67,10,3.6
25.66,94.2,16,3
